hour no,isop_emis_SE,isop_emis_NE,isop_emis_Mid,isop_emis_SW,isop_emis_N,terp_emis_SE,terp_emis_NE,terp_emis_Mid,terp_emis_SW,terp_emis_N,isop_ppb_SE,isop_ppb_NE,isop_ppb_Mid,isop_ppb_SW,isop_ppb_N,terp_ppb_SE,terp_ppb_NE,terp_ppb_Mid,terp_ppb_SW,terp_ppb_N,hcho_ppb_SE,hcho_ppb_NE,hcho_ppb_Mid,hcho_ppb_SW,hcho_ppb_N,no_ppb_SE,no_ppb_NE,no_ppb_Mid,no_ppb_SW,no_ppb_N,no2_ppb_SE,no2_ppb_NE,no2_ppb_Mid,no2_ppb_SW,no2_ppb_N,mvk_ppb_SE,mvk_ppb_NE,mvk_ppb_Mid,mvk_ppb_SW,mvk_ppb_N,macr_ppb_SE,macr_ppb_NE,macr_ppb_Mid,macr_ppb_SW,macr_ppb_N
213,299.81,734.35,3.454,2.084,1106.532,187.811,326.813,64.894,91.948,267.755,0.231,0.582,0.004,0.036,1.283,0.096,0.225,0.171,0.207,0.492,0.543,0.989,0.641,0.492,1.745,0.248,0.134,0.093,0.04,0.087,0.416,0.308,0.355,0.459,0.663,0.01,0.037,0,0.005,0.127,0.019,0.079,0.001,0.009,0.261
214,449.269,1201.712,7.671,10.226,2418.664,246.46,450.261,90.036,121.769,368.521,0.317,0.839,0.008,0.034,2.125,0.081,0.175,0.102,0.15,0.329,0.678,1.227,0.708,0.526,1.861,0.225,0.125,0.119,0.086,0.1,0.35,0.257,0.252,0.347,0.459,0.013,0.041,0.001,0.006,0.13,0.023,0.1,0.001,0.01,0.277
215,618.057,1592.655,11.924,21.732,3627.582,310.636,564.509,119.717,166.005,469.893,0.384,0.937,0.01,0.03,2.884,0.072,0.142,0.065,0.109,0.263,0.779,1.385,0.77,0.595,2.04,0.176,0.099,0.105,0.105,0.091,0.285,0.219,0.202,0.273,0.358,0.015,0.036,0.001,0.006,0.131,0.025,0.11,0.001,0.01,0.313
216,750.913,2075.526,13.865,33.792,4902.784,372.493,677.937,146.962,205.672,579.487,0.424,0.999,0.009,0.028,3.337,0.073,0.129,0.048,0.085,0.222,0.826,1.421,0.816,0.704,2.15,0.141,0.083,0.086,0.103,0.076,0.237,0.194,0.171,0.24,0.287,0.015,0.032,0.001,0.004,0.123,0.028,0.108,0.001,0.009,0.349
217,907.677,2306.391,15.971,51.234,5731.475,428.922,759.264,170.685,258.888,670.287,0.479,1.049,0.009,0.032,3.47,0.079,0.129,0.043,0.072,0.198,0.846,1.409,0.846,0.82,2.201,0.121,0.077,0.074,0.095,0.066,0.208,0.184,0.155,0.222,0.246,0.016,0.03,0.001,0.002,0.113,0.031,0.105,0.001,0.007,0.374
218,1000.225,2397.671,17.143,68.09,6192.662,467.554,802.176,190.213,310.794,736.359,0.548,1.119,0.009,0.04,3.558,0.087,0.135,0.043,0.067,0.19,0.857,1.394,0.863,0.897,2.249,0.11,0.074,0.068,0.086,0.061,0.196,0.182,0.149,0.21,0.229,0.016,0.03,0.001,0.001,0.107,0.034,0.108,0.001,0.005,0.391
219,995.615,2337.607,17.469,84.302,6313.089,481.861,795.123,202.525,352.676,769.184,0.623,1.203,0.009,0.048,3.727,0.097,0.145,0.045,0.067,0.193,0.863,1.377,0.873,0.927,2.312,0.107,0.07,0.064,0.081,0.059,0.197,0.186,0.149,0.202,0.228,0.016,0.031,0.001,0.001,0.106,0.036,0.113,0.001,0.004,0.407
220,909.555,2170.063,17.038,93.215,6137.346,472.764,749.198,203.027,378.593,769.077,0.657,1.309,0.009,0.057,3.954,0.105,0.157,0.047,0.07,0.201,0.865,1.361,0.879,0.93,2.38,0.106,0.066,0.061,0.078,0.058,0.207,0.194,0.152,0.198,0.234,0.017,0.032,0.001,0.001,0.106,0.037,0.119,0.001,0.004,0.426
221,711.837,1783.559,15.829,92.899,5559.311,431.821,672.707,194.098,384.804,731.621,0.643,1.399,0.01,0.062,4.231,0.111,0.171,0.05,0.074,0.214,0.864,1.346,0.882,0.923,2.443,0.107,0.062,0.058,0.076,0.057,0.227,0.207,0.157,0.198,0.245,0.017,0.034,0.001,0.001,0.108,0.037,0.125,0.001,0.004,0.447
222,434.6,1140.651,13.413,83.064,4371.267,351.475,559.902,179.177,371.74,657.537,0.607,1.436,0.01,0.066,4.568,0.118,0.19,0.054,0.079,0.236,0.857,1.329,0.882,0.909,2.504,0.104,0.057,0.055,0.073,0.055,0.261,0.231,0.167,0.203,0.267,0.017,0.036,0.001,0.001,0.112,0.036,0.129,0.001,0.004,0.469
223,143.054,367.041,8.684,67.756,2521.279,267.666,463.426,160.876,334.187,565.276,0.544,1.398,0.011,0.067,4.906,0.132,0.236,0.061,0.086,0.282,0.844,1.314,0.88,0.889,2.574,0.088,0.048,0.049,0.07,0.052,0.325,0.294,0.186,0.212,0.314,0.017,0.039,0.001,0.001,0.122,0.035,0.13,0.001,0.004,0.493
224,2.697,2.869,2.671,44.673,480.241,231.436,429.164,159.505,284.353,501.251,0.46,1.212,0.011,0.066,5.117,0.292,0.534,0.084,0.096,0.432,0.856,1.351,0.881,0.865,2.687,0.071,0.042,0.041,0.063,0.046,0.634,0.647,0.233,0.231,0.478,0.019,0.049,0.001,0.001,0.149,0.035,0.13,0.001,0.005,0.521
225,0.393,2.231,0.076,18.647,11.425,183.123,350.628,159.298,259.574,435.601,0.353,0.913,0.01,0.061,4.044,0.569,0.957,0.346,0.142,0.756,0.887,1.418,0.967,0.844,2.806,0.036,0.025,0.04,0.054,0.034,1.288,1.233,0.639,0.304,0.944,0.02,0.057,0.001,0.001,0.185,0.033,0.124,0.002,0.005,0.539
226,0.322,1.875,0.065,0.578,9.182,158.078,309.151,135.174,239.883,387.195,0.3,0.704,0.008,0.05,3.289,0.834,1.224,0.741,0.283,1.054,0.924,1.435,1.138,0.849,2.859,0.038,0.025,0.026,0.04,0.027,1.897,1.631,1.315,0.548,1.444,0.019,0.056,0.001,0.001,0.207,0.031,0.111,0.002,0.004,0.535
227,0.281,1.592,0.056,0.035,8.03,139.95,275.934,120.387,205.409,350.158,0.261,0.538,0.007,0.039,2.787,0.98,1.261,1.013,0.419,1.166,0.941,1.383,1.256,0.853,2.82,0.043,0.026,0.028,0.024,0.027,2.161,1.717,1.76,0.826,1.645,0.019,0.05,0.001,0.002,0.212,0.031,0.096,0.002,0.004,0.517
228,0.257,1.366,0.049,0.029,7.106,127.384,248.229,109.22,175.031,319.958,0.236,0.406,0.006,0.034,2.384,1.063,1.175,1.105,0.443,1.151,0.943,1.285,1.291,0.818,2.721,0.043,0.025,0.029,0.022,0.027,2.223,1.62,1.9,0.903,1.621,0.019,0.042,0.001,0.002,0.208,0.031,0.08,0.002,0.004,0.496
229,0.245,1.177,0.043,0.025,6.373,118.932,224.945,99.227,150.721,294.854,0.218,0.31,0.005,0.031,2.048,1.094,1.05,1.086,0.405,1.069,0.934,1.172,1.268,0.757,2.591,0.04,0.023,0.028,0.019,0.026,2.16,1.45,1.864,0.85,1.492,0.02,0.035,0.001,0.002,0.199,0.032,0.067,0.002,0.004,0.473
230,0.235,1.023,0.038,0.023,5.744,112.68,205.006,90.727,132.547,272.755,0.204,0.245,0.005,0.028,1.757,1.083,0.93,1.028,0.34,0.972,0.917,1.067,1.221,0.687,2.447,0.037,0.021,0.027,0.017,0.025,2.035,1.273,1.765,0.734,1.336,0.02,0.029,0.001,0.002,0.187,0.033,0.056,0.002,0.004,0.447
231,0.229,0.904,0.034,0.021,5.21,107.987,188.252,83.454,118.464,253.098,0.189,0.202,0.004,0.027,1.524,1.034,0.831,0.975,0.266,0.909,0.895,0.977,1.173,0.617,2.311,0.034,0.02,0.026,0.015,0.024,1.887,1.116,1.672,0.602,1.21,0.021,0.025,0.001,0.002,0.175,0.034,0.049,0.002,0.004,0.421
232,0.228,0.803,0.03,0.019,4.755,104.643,173.642,76.342,106.801,235.845,0.169,0.171,0.004,0.025,1.342,0.954,0.774,0.946,0.207,0.9,0.869,0.906,1.135,0.558,2.195,0.031,0.019,0.026,0.013,0.023,1.751,1.007,1.605,0.497,1.144,0.021,0.023,0.001,0.002,0.166,0.034,0.044,0.002,0.004,0.396
233,0.227,0.729,0.026,0.019,4.373,101.534,161.894,69.808,96.984,221.11,0.146,0.145,0.004,0.023,1.191,0.877,0.748,0.941,0.177,0.928,0.844,0.848,1.107,0.514,2.1,0.032,0.018,0.025,0.012,0.023,1.662,0.935,1.561,0.435,1.121,0.021,0.02,0.001,0.002,0.159,0.033,0.039,0.002,0.004,0.372
234,0.227,0.673,0.024,0.018,4.051,99.115,152.508,64.449,88.583,208.42,0.126,0.124,0.004,0.022,1.065,0.825,0.734,0.955,0.167,0.975,0.827,0.804,1.087,0.481,2.023,0.061,0.018,0.024,0.011,0.022,1.626,0.877,1.533,0.403,1.121,0.021,0.018,0.001,0.002,0.153,0.033,0.035,0.002,0.004,0.35
235,66.175,27.222,0.022,0.017,3.782,122.128,152.496,60.064,81.637,197.581,0.123,0.116,0.003,0.02,0.962,0.566,0.649,0.982,0.162,1.036,0.813,0.78,1.072,0.454,1.959,0.186,0.043,0.024,0.011,0.023,1.33,0.75,1.512,0.382,1.133,0.02,0.018,0.001,0.002,0.148,0.032,0.033,0.002,0.004,0.33
236,255.704,317.411,0.39,0.017,189.031,197.516,231.319,55.192,75.501,204.9,0.245,0.213,0.003,0.02,0.889,0.274,0.324,0.956,0.159,0.94,0.875,0.801,1.082,0.434,1.889,0.369,0.095,0.077,0.011,0.047,0.956,0.445,1.4,0.367,1.016,0.022,0.02,0.001,0.002,0.141,0.036,0.037,0.002,0.004,0.311
237,562.76,784.201,2.78,1.647,1271.985,307.907,353.882,66.756,73.06,283.199,0.397,0.511,0.005,0.019,1.263,0.184,0.215,0.431,0.141,0.482,1.046,0.94,1.098,0.424,1.832,0.439,0.122,0.134,0.025,0.08,0.767,0.316,0.796,0.333,0.624,0.028,0.028,0.001,0.002,0.129,0.044,0.05,0.003,0.004,0.29
238,915.8,1252.373,6.769,9.403,2681.332,425.895,475.8,91.627,86.007,391.376,0.527,0.792,0.011,0.02,2.201,0.13,0.17,0.206,0.114,0.319,1.174,1.138,1.211,0.439,1.929,0.374,0.111,0.159,0.062,0.094,0.593,0.254,0.536,0.265,0.436,0.029,0.035,0.002,0.002,0.132,0.047,0.069,0.005,0.004,0.297
239,1249.388,1662.828,11.664,20.979,3952.011,533.366,590.553,125.363,108.083,499.082,0.633,0.956,0.014,0.023,2.871,0.113,0.143,0.114,0.092,0.243,1.217,1.239,1.281,0.488,2.03,0.291,0.085,0.135,0.087,0.082,0.471,0.2,0.406,0.216,0.324,0.026,0.034,0.002,0.002,0.127,0.046,0.082,0.009,0.005,0.318
240,2174.043,1974.191,16.962,39.374,4997.542,704.188,700.216,161.294,135.343,599.095,0.949,1.006,0.011,0.028,3.047,0.13,0.135,0.066,0.073,0.195,1.252,1.287,1.256,0.568,2.069,0.222,0.074,0.097,0.091,0.066,0.397,0.179,0.303,0.188,0.25,0.028,0.03,0.002,0.002,0.111,0.049,0.085,0.009,0.005,0.335
241,2426.822,2202.519,18.962,58.468,5730.312,785.478,778.962,185.581,170.801,681.083,1.154,1.042,0.01,0.034,3.124,0.146,0.135,0.051,0.061,0.175,1.287,1.304,1.253,0.663,2.108,0.17,0.071,0.08,0.084,0.059,0.344,0.174,0.256,0.171,0.216,0.031,0.028,0.001,0.002,0.101,0.059,0.084,0.008,0.004,0.348
242,2528.569,2311.894,19.638,79.841,6165.062,835.62,826.39,200.633,209.348,741.778,1.295,1.098,0.01,0.043,3.262,0.161,0.14,0.049,0.056,0.172,1.308,1.299,1.266,0.742,2.159,0.141,0.069,0.074,0.077,0.056,0.313,0.174,0.24,0.162,0.206,0.033,0.028,0.001,0.001,0.098,0.067,0.086,0.007,0.004,0.36
243,2503.372,2299.384,19.517,93.69,6298.777,847.001,831.865,208.916,243.831,777.6,1.392,1.167,0.01,0.051,3.484,0.173,0.148,0.049,0.056,0.179,1.323,1.291,1.262,0.788,2.221,0.13,0.067,0.07,0.072,0.055,0.308,0.178,0.232,0.157,0.209,0.034,0.028,0.001,0.001,0.099,0.074,0.092,0.005,0.003,0.376
244,2301.5,2162.878,18.891,107.036,6102.692,816.467,794.556,210.571,268.37,781.2,1.45,1.248,0.01,0.059,3.744,0.184,0.158,0.051,0.057,0.191,1.333,1.283,1.242,0.808,2.289,0.125,0.064,0.066,0.069,0.054,0.319,0.185,0.229,0.156,0.218,0.035,0.029,0.001,0.001,0.102,0.077,0.098,0.004,0.003,0.397
245,1934.761,1830.895,17.467,108.719,5476.134,751.369,710.857,205.152,278.108,744.923,1.477,1.338,0.01,0.066,4.008,0.196,0.171,0.054,0.059,0.205,1.335,1.275,1.215,0.814,2.354,0.123,0.059,0.063,0.068,0.054,0.346,0.199,0.229,0.158,0.231,0.036,0.03,0.001,0.001,0.105,0.078,0.104,0.003,0.004,0.42
246,1325.284,1211.541,15.026,100.953,4292.592,628.054,587.374,194.098,271.327,671.607,1.438,1.383,0.01,0.07,4.27,0.21,0.189,0.058,0.062,0.225,1.33,1.266,1.186,0.813,2.414,0.117,0.054,0.058,0.066,0.052,0.393,0.223,0.234,0.164,0.252,0.037,0.031,0.001,0.001,0.109,0.076,0.108,0.003,0.004,0.443
247,502.11,393.389,10.661,86.339,2452.869,486.471,484.81,180.023,252.108,578.958,1.397,1.294,0.01,0.071,4.548,0.253,0.226,0.067,0.067,0.27,1.329,1.255,1.159,0.807,2.476,0.099,0.046,0.053,0.063,0.049,0.487,0.28,0.249,0.175,0.299,0.039,0.034,0.001,0.001,0.118,0.072,0.109,0.002,0.004,0.464
248,8.637,2.781,4.248,58.903,517.88,392.318,457.042,179.009,217.049,508.753,1.079,0.976,0.01,0.069,4.77,0.587,0.474,0.1,0.075,0.421,1.414,1.281,1.142,0.797,2.574,0.091,0.039,0.045,0.058,0.045,1.086,0.602,0.306,0.194,0.47,0.045,0.038,0.001,0.001,0.145,0.071,0.106,0.002,0.004,0.488
249,0.96,2.233,0.106,26.704,11.804,291.01,382.465,190.572,194.528,448.256,0.636,0.677,0.009,0.062,3.896,1.068,0.86,0.349,0.095,0.707,1.559,1.34,1.207,0.782,2.666,0.05,0.025,0.041,0.048,0.034,2.254,1.173,0.685,0.236,0.871,0.045,0.04,0.001,0.001,0.181,0.065,0.096,0.002,0.004,0.501
250,0.771,1.821,0.075,0.856,9.168,241.343,337.505,154.03,185.494,389.532,0.457,0.515,0.006,0.051,3.044,1.479,1.154,0.745,0.17,0.975,1.683,1.382,1.349,0.771,2.662,0.057,0.025,0.027,0.036,0.027,3.328,1.637,1.348,0.371,1.313,0.042,0.038,0.001,0.001,0.197,0.06,0.083,0.002,0.003,0.484
251,0.644,1.501,0.065,0.052,7.812,208.159,302.721,132.011,166.12,344.637,0.366,0.395,0.005,0.036,2.438,1.74,1.258,1.016,0.247,1.107,1.768,1.371,1.441,0.757,2.571,0.077,0.026,0.028,0.023,0.027,3.98,1.819,1.811,0.53,1.576,0.039,0.033,0.001,0.001,0.194,0.056,0.07,0.002,0.003,0.447
252,0.539,1.251,0.057,0.043,6.819,182.381,274.09,116.483,146.508,311.079,0.316,0.309,0.005,0.031,1.988,1.915,1.245,1.116,0.259,1.148,1.812,1.323,1.445,0.722,2.438,0.098,0.026,0.029,0.02,0.028,4.299,1.805,1.967,0.568,1.658,0.038,0.029,0.001,0.001,0.184,0.054,0.06,0.002,0.004,0.407
253,0.468,1.059,0.051,0.036,6.069,162.72,249.703,104.45,130.548,284.851,0.285,0.252,0.004,0.029,1.652,2.017,1.162,1.128,0.237,1.153,1.822,1.252,1.396,0.677,2.297,0.109,0.024,0.029,0.018,0.028,4.371,1.675,1.959,0.539,1.631,0.036,0.026,0.001,0.001,0.172,0.053,0.053,0.002,0.004,0.372
254,0.426,0.92,0.047,0.03,5.487,147.857,228.508,94.591,117.995,263.746,0.261,0.212,0.004,0.027,1.403,2.074,1.056,1.098,0.214,1.133,1.81,1.172,1.328,0.635,2.166,0.116,0.022,0.028,0.016,0.027,4.293,1.502,1.873,0.501,1.546,0.035,0.024,0.001,0.001,0.16,0.053,0.049,0.003,0.004,0.343
255,0.403,0.824,0.043,0.026,5.002,137.629,209.251,86.644,108.179,245.507,0.238,0.18,0.004,0.026,1.231,2.098,0.965,1.056,0.198,1.116,1.783,1.093,1.262,0.602,2.057,0.121,0.02,0.028,0.015,0.027,4.144,1.34,1.768,0.474,1.456,0.033,0.022,0.001,0.001,0.152,0.051,0.045,0.003,0.004,0.321
256,0.388,0.755,0.04,0.023,4.603,129.959,192.057,79.508,100.784,230.05,0.219,0.155,0.005,0.024,1.115,2.09,0.893,1.025,0.19,1.107,1.744,1.017,1.207,0.58,1.975,0.124,0.019,0.027,0.014,0.026,3.948,1.199,1.676,0.46,1.378,0.031,0.021,0.001,0.001,0.146,0.049,0.041,0.003,0.003,0.307
257,0.374,0.701,0.036,0.022,4.258,124.339,177.386,73.083,95.144,216.322,0.203,0.136,0.005,0.021,1.031,2.046,0.848,1.018,0.186,1.105,1.696,0.952,1.168,0.566,1.91,0.131,0.018,0.026,0.014,0.025,3.716,1.096,1.615,0.451,1.313,0.029,0.019,0.002,0.001,0.142,0.047,0.038,0.004,0.003,0.295
258,0.367,0.655,0.033,0.02,3.944,120.714,165.395,66.624,90.678,203.818,0.185,0.121,0.006,0.018,0.96,1.965,0.817,1.036,0.189,1.131,1.642,0.897,1.147,0.557,1.856,0.15,0.018,0.025,0.013,0.024,3.488,1.014,1.583,0.45,1.28,0.027,0.019,0.002,0.001,0.139,0.044,0.036,0.005,0.003,0.284
259,179.202,27.628,0.029,0.02,3.654,173.079,163.425,60.522,87.084,192.207,0.222,0.114,0.008,0.014,0.893,1.606,0.742,1.071,0.2,1.184,1.612,0.859,1.141,0.555,1.808,0.429,0.042,0.025,0.013,0.024,2.835,0.888,1.568,0.46,1.279,0.024,0.018,0.003,0.001,0.136,0.04,0.034,0.006,0.002,0.272
260,669.193,241.103,0.432,0.019,136.929,298.257,226.731,55.935,83.871,192.175,0.615,0.181,0.011,0.011,0.841,0.681,0.368,1.062,0.215,1.126,1.608,0.831,1.182,0.559,1.757,0.466,0.083,0.096,0.014,0.044,1.682,0.522,1.459,0.479,1.174,0.033,0.019,0.004,0.001,0.131,0.047,0.035,0.009,0.002,0.26
261,1253.054,567.061,3.91,1.857,904.288,463.25,330.868,69.812,83.224,252.646,0.873,0.365,0.02,0.008,1.108,0.39,0.224,0.432,0.219,0.619,1.758,0.913,1.234,0.57,1.704,0.518,0.108,0.141,0.03,0.082,1.293,0.354,0.808,0.476,0.739,0.045,0.024,0.006,0,0.123,0.06,0.041,0.015,0.001,0.247
262,1701.047,962.276,9.547,10.809,2080.827,608.699,451.747,99.98,95.754,346.075,1.026,0.57,0.031,0.011,1.936,0.227,0.172,0.193,0.18,0.381,1.735,1.04,1.406,0.602,1.798,0.405,0.102,0.161,0.073,0.1,0.99,0.274,0.55,0.392,0.502,0.048,0.028,0.008,0,0.13,0.069,0.05,0.026,0.001,0.259
263,2001.098,1330.456,15.101,24.979,3307.051,712.258,566.589,137.844,115.193,449.234,1.139,0.725,0.031,0.02,2.578,0.176,0.142,0.097,0.132,0.269,1.691,1.104,1.563,0.654,1.942,0.282,0.081,0.134,0.1,0.084,0.765,0.212,0.42,0.313,0.356,0.045,0.028,0.008,0.001,0.13,0.074,0.055,0.037,0.001,0.292
264,2134.781,1653.281,20.712,45.885,4192.258,787.026,673.007,172.744,134.288,538.844,1.201,0.812,0.025,0.034,2.871,0.17,0.131,0.059,0.1,0.211,1.688,1.162,1.638,0.723,2.072,0.22,0.07,0.101,0.105,0.067,0.636,0.186,0.333,0.269,0.269,0.041,0.027,0.006,0.001,0.119,0.077,0.057,0.04,0.002,0.33
265,2202.782,1884.817,22.603,67.497,4911.622,842.189,752.006,195.958,157.053,615.533,1.254,0.88,0.019,0.045,3.083,0.173,0.13,0.05,0.079,0.188,1.658,1.194,1.685,0.801,2.176,0.18,0.066,0.088,0.098,0.058,0.542,0.177,0.298,0.239,0.23,0.038,0.026,0.004,0.002,0.11,0.08,0.058,0.036,0.003,0.36
266,2204.481,2002.289,23.512,90.738,5349.576,868.644,794.568,213.395,177.173,674.471,1.305,0.953,0.015,0.056,3.334,0.179,0.134,0.049,0.068,0.188,1.604,1.202,1.71,0.866,2.263,0.155,0.064,0.083,0.087,0.055,0.47,0.175,0.286,0.217,0.22,0.036,0.026,0.003,0.002,0.107,0.084,0.063,0.029,0.003,0.381
267,2069.07,1989.268,23.48,110.54,5485.392,852.469,800.157,224.272,192.178,709.992,1.34,1.033,0.013,0.066,3.622,0.184,0.142,0.05,0.064,0.196,1.546,1.203,1.7,0.906,2.342,0.136,0.062,0.08,0.077,0.055,0.425,0.178,0.28,0.201,0.223,0.036,0.027,0.002,0.002,0.107,0.087,0.07,0.024,0.004,0.399
268,1784.547,1865.136,22.826,124.111,5243.247,802.911,768.147,227.194,200.112,710.61,1.353,1.11,0.012,0.076,4.054,0.19,0.153,0.052,0.064,0.216,1.498,1.204,1.67,0.921,2.42,0.124,0.06,0.076,0.07,0.055,0.408,0.186,0.277,0.191,0.236,0.037,0.028,0.002,0.002,0.111,0.089,0.077,0.019,0.005,0.419
269,1387.492,1603.463,21.517,127.672,4590.929,725.733,704.576,221.532,198.845,677.233,1.334,1.177,0.011,0.085,4.399,0.2,0.167,0.055,0.065,0.237,1.454,1.204,1.634,0.92,2.493,0.117,0.058,0.072,0.065,0.056,0.423,0.198,0.277,0.186,0.255,0.037,0.028,0.001,0.002,0.116,0.087,0.084,0.015,0.005,0.44
270,885.931,1087.938,18.483,118.414,3488.019,605.419,595.7,207.71,187.441,613.87,1.348,1.215,0.012,0.091,4.712,0.22,0.182,0.06,0.068,0.265,1.415,1.202,1.602,0.909,2.559,0.109,0.054,0.066,0.062,0.055,0.47,0.219,0.283,0.187,0.283,0.038,0.029,0.001,0.002,0.123,0.083,0.088,0.014,0.006,0.462
271,295.103,362.527,12.841,101.799,1959.55,481.954,493.958,190.04,168.319,537.361,1.564,1.164,0.012,0.093,5.11,0.298,0.218,0.068,0.074,0.327,1.411,1.198,1.581,0.894,2.636,0.093,0.046,0.059,0.059,0.055,0.576,0.271,0.3,0.193,0.349,0.045,0.031,0.001,0.002,0.137,0.084,0.091,0.013,0.006,0.486
272,3.296,2.616,4.765,69.985,426.916,385.47,467.764,187.08,144.659,470.475,1.157,0.852,0.011,0.091,5.325,0.621,0.497,0.091,0.083,0.491,1.493,1.241,1.574,0.874,2.753,0.075,0.04,0.046,0.054,0.052,1.137,0.625,0.349,0.208,0.545,0.051,0.035,0.001,0.002,0.171,0.082,0.091,0.013,0.005,0.516
273,0.808,2.101,0.13,30.836,11.098,292.186,382.933,201.322,123.197,408.585,0.677,0.579,0.012,0.079,4.591,0.979,0.916,0.314,0.097,0.753,1.62,1.331,1.632,0.85,2.862,0.041,0.025,0.039,0.044,0.039,2.026,1.248,0.696,0.238,0.935,0.048,0.036,0.001,0.002,0.212,0.073,0.086,0.014,0.005,0.538
274,0.64,1.72,0.091,0.98,8.472,244.62,335.023,169.375,109.707,357.043,0.463,0.457,0.008,0.059,3.872,1.153,1.234,0.675,0.121,0.982,1.673,1.413,1.752,0.825,2.883,0.041,0.025,0.025,0.026,0.028,2.592,1.744,1.306,0.291,1.316,0.044,0.036,0.002,0.002,0.233,0.066,0.079,0.016,0.004,0.535
275,0.545,1.433,0.075,0.058,7.29,215.708,298.887,146.734,100.081,317.894,0.355,0.373,0.007,0.037,3.376,1.216,1.374,0.93,0.138,1.123,1.688,1.445,1.838,0.796,2.829,0.046,0.026,0.026,0.013,0.027,2.885,1.971,1.736,0.326,1.537,0.042,0.034,0.002,0.001,0.238,0.062,0.073,0.017,0.004,0.515
276,0.477,1.213,0.068,0.049,6.343,194.563,270.562,130.694,91.592,285.543,0.301,0.312,0.007,0.03,2.967,1.239,1.395,1.012,0.133,1.217,1.682,1.432,1.851,0.765,2.737,0.049,0.026,0.027,0.011,0.028,3.003,2.007,1.858,0.319,1.646,0.04,0.032,0.002,0.001,0.236,0.062,0.067,0.018,0.003,0.49
277,0.421,1.047,0.064,0.046,5.619,178.131,247.536,118.253,85.021,259.848,0.276,0.268,0.008,0.026,2.618,1.242,1.345,0.99,0.12,1.295,1.666,1.39,1.816,0.734,2.629,0.049,0.025,0.026,0.01,0.028,2.991,1.93,1.797,0.303,1.697,0.041,0.03,0.003,0.001,0.23,0.064,0.063,0.021,0.003,0.462
278,0.379,0.921,0.06,0.046,5.054,166.803,227.865,107.963,79.95,239.488,0.265,0.236,0.01,0.023,2.323,1.235,1.262,0.915,0.114,1.368,1.639,1.331,1.764,0.71,2.525,0.045,0.024,0.024,0.009,0.028,2.911,1.788,1.656,0.292,1.724,0.043,0.029,0.004,0.001,0.222,0.067,0.06,0.026,0.002,0.436
279,0.337,0.819,0.057,0.047,4.657,156.729,211.26,99.476,76.224,224.913,0.253,0.212,0.014,0.018,2.082,1.222,1.175,0.817,0.114,1.434,1.599,1.265,1.712,0.691,2.434,0.042,0.022,0.022,0.009,0.028,2.816,1.623,1.49,0.285,1.734,0.044,0.029,0.005,0.001,0.215,0.07,0.058,0.032,0.002,0.415
280,0.307,0.736,0.055,0.048,4.327,147.8,197.335,92.224,73.438,212.335,0.237,0.193,0.02,0.012,1.893,1.203,1.089,0.721,0.114,1.489,1.554,1.196,1.675,0.677,2.356,0.043,0.021,0.02,0.009,0.028,2.737,1.454,1.342,0.28,1.728,0.045,0.028,0.007,0,0.209,0.071,0.057,0.04,0.001,0.399
281,0.289,0.671,0.053,0.049,4.031,141.173,186.032,86.028,71.33,200.902,0.213,0.179,0.029,0.007,1.753,1.19,1.013,0.647,0.115,1.524,1.507,1.132,1.664,0.666,2.292,0.047,0.02,0.019,0.008,0.028,2.703,1.306,1.231,0.278,1.689,0.044,0.028,0.01,0,0.205,0.07,0.056,0.051,0.001,0.39
282,0.281,0.62,0.051,0.051,3.746,135.053,176.357,80.562,69.601,190.009,0.18,0.168,0.037,0.003,1.643,1.173,0.962,0.592,0.115,1.556,1.45,1.08,1.663,0.655,2.241,0.058,0.02,0.018,0.008,0.028,2.703,1.196,1.149,0.278,1.648,0.042,0.028,0.013,0,0.202,0.065,0.055,0.06,0,0.384
283,121.374,33.514,0.049,0.053,3.47,164.625,177.624,75.889,68.205,179.432,0.176,0.161,0.04,0.001,1.547,0.931,0.843,0.556,0.116,1.611,1.407,1.049,1.659,0.646,2.199,0.281,0.057,0.018,0.008,0.028,2.304,1.019,1.094,0.279,1.637,0.036,0.028,0.016,0,0.2,0.057,0.055,0.066,0,0.379
284,475.95,298.665,0.819,0.055,112.898,266.84,262.238,69.958,66.817,183.216,0.431,0.245,0.041,0,1.468,0.45,0.434,0.482,0.12,1.527,1.464,1.096,1.688,0.637,2.154,0.397,0.119,0.051,0.009,0.052,1.488,0.636,0.981,0.283,1.466,0.033,0.03,0.018,0,0.196,0.055,0.056,0.071,0,0.373
285,910.915,733.079,6.114,3.663,790.07,401.305,398.272,83.044,68.239,240.472,0.668,0.481,0.045,0.001,1.566,0.272,0.265,0.228,0.122,0.828,1.626,1.249,1.812,0.631,2.117,0.413,0.144,0.099,0.019,0.092,1.12,0.44,0.654,0.278,0.874,0.036,0.034,0.019,0,0.178,0.058,0.062,0.077,0,0.357
286,1289.718,1200.931,12.803,19.823,1848.49,526.714,535.655,109.302,81.709,326.4,0.795,0.691,0.042,0.011,2.199,0.185,0.181,0.122,0.116,0.453,1.744,1.321,1.945,0.639,2.196,0.32,0.115,0.12,0.047,0.105,0.863,0.313,0.486,0.25,0.535,0.039,0.033,0.016,0,0.17,0.063,0.064,0.075,0,0.363
